Model,Train_Accuracy,Test_Accuracy,Precision_Weighted,Recall_Weighted,F1_Weighted,Overfit_Gap
Decision Tree,1.0,0.9202551834130781,0.9204130458339297,0.9202551834130781,0.9198614669626552,0.0797448165869219
Random Forest,1.0,0.937799043062201,0.9428052771192651,0.937799043062201,0.9389172756501848,0.062200956937799035
SVM,0.9616438356164384,0.9138755980861244,0.9146072962916746,0.9138755980861244,0.9140748866145659,0.047768237530314006
KNN,0.8863013698630137,0.8133971291866029,0.8109142591660813,0.8133971291866029,0.7991211526278786,0.07290424067641077
