Model,Train_Accuracy,Test_Accuracy,CV_Macro_F1,CV_Std_Macro_F1,CV_Mean_Accuracy,CV_Std_Accuracy,Specificity_Macro,AUC_Macro_OVR,AUC_Weighted_OVR,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Error_Rate,Overfit_Gap,Generalisation_Ratio
Decision Tree (Baseline),1.0,0.9330143540669856,0.915945364507756,0.02499169891097876,0.9185287083490676,0.023947112830118057,0.9888502562212925,0.9592123335657625,0.9609758967745243,0.9319270120022001,0.9295744109102325,0.9303355837835119,0.9334136413965172,0.9330143540669856,0.9327627864930406,0.06698564593301437,0.06698564593301437,0.9330143540669856
Random Forest,0.9988016776512882,0.9641148325358851,0.9454955609394637,0.01197579789137862,0.9472838107568646,0.012183637618749053,0.994012916266141,0.9989302725423386,0.9989709403161108,0.9644763106172317,0.9623155542992546,0.9631114695859164,0.9646309036745563,0.9641148325358851,0.9640915657835277,0.03588516746411485,0.0346868451154031,0.9652715389936366
SVM,0.9958058717795086,0.9760765550239234,0.9599195881738973,0.009770423564610099,0.9616532700365037,0.009355205671871841,0.9959948027085684,0.9981207126552578,0.9982033378447102,0.976709291934832,0.9757522574219488,0.9760300030270868,0.9764203703249515,0.9760765550239234,0.9760409783470876,0.02392344497607657,0.019729316755585202,0.9801875874458053
KNN,1.0,0.8660287081339713,0.8679921407918268,0.020299241449930977,0.8771789753825681,0.016350758976636303,0.977738289420839,0.971739050413084,0.9730176158749102,0.8581182548117808,0.8599464599268926,0.8561883979075626,0.8622689413053828,0.8660287081339713,0.8613919725980668,0.13397129186602874,0.13397129186602874,0.8660287081339713
